name,description
Zeus,"King of the gods, Zeus is the ruler of Mount Olympus and the god of the sky and thunder."
Hera,"Queen of the gods, Hera is the goddess of marriage and family."
Poseidon,"God of the sea, Poseidon rules the seas and controls earthquakes."
Hades,"God of the underworld, Hades governs the underworld and the dead."
Athena,"Goddess of wisdom, Athena is the goddess of wisdom, courage, and warfare."
Apollo,"God of the sun and arts, Apollo is the god of the sun, music, and prophecy."
Artemis,"Goddess of the hunt, Artemis is the goddess of the hunt, wilderness, and wild animals."
Ares,"God of war, Ares is the god of war and violence."
Aphrodite,"Goddess of love, Aphrodite is the goddess of love, beauty, and desire."
Hephaestus,"God of fire and forge, Hephaestus is the god of fire, metalworking, and crafts."
Hermes,"Messenger of the gods, Hermes is the god of trade, thieves, travelers, and sports."
Demeter,"Goddess of the harvest, Demeter is the goddess of agriculture and fertility."
Dionysus,"God of wine, Dionysus is the god of wine, pleasure, and festivity."
Persephone,"Queen of the underworld, Persephone is the goddess of spring growth and the wife of Hades."
Helios,"God of the sun, Helios is the god who drives the chariot of the sun across the sky."
Selene,"Goddess of the moon, Selene is the goddess who drives the chariot of the moon across the sky."
Eros,"God of love, Eros is the god of love and attraction."
Hypnos,"God of sleep, Hypnos is the personification of sleep."
Nike,"Goddess of victory, Nike is the goddess of victory in both war and peaceful competition."
Tyche,"Goddess of fortune, Tyche is the goddess of fortune and prosperity."
Iris,"Goddess of the rainbow, Iris is the messenger of the gods and the goddess of the rainbow."
Pan,"God of the wild, Pan is the god of the wild, shepherds, and flocks."
Nemesis,"Goddess of retribution, Nemesis is the goddess of revenge and retribution."
Hestia,"Goddess of the hearth, Hestia is the goddess of the hearth, home, and domesticity."
